nct_id,location,continent,iso
NCT00151723,Netherlands,Europe,NLD
NCT00169806,United States,North America,USA
NCT00176748,United States,North America,USA
NCT00181168,France,Europe,FRA
NCT00181168,United States,North America,USA
NCT00206375,United States,North America,USA
NCT00215605,United States,North America,USA
NCT00223158,Canada,North America,CAN
NCT00230802,United States,North America,USA
NCT00251316,United States,North America,USA
NCT00271427,Turkey,Middle East,TUR
NCT00275171,Denmark,Europe,DNK
NCT00277589,Germany,Europe,DEU
NCT00280852,Canada,North America,CAN
NCT00295763,Canada,North America,CAN
NCT00295763,France,Europe,FRA
NCT00295763,Germany,Europe,DEU
NCT00295763,Italy,Europe,ITA
NCT00295763,United States,North America,USA
NCT00336102,United States,North America,USA
NCT00339716,Belarus,North Asia,BLR
NCT00341094,Ukraine,Europe,UKR
NCT00341185,Kazakhstan,North Asia,KAZ
NCT00342407,United States,North America,USA
NCT00342446,United States,North America,USA
NCT00354523,United States,North America,USA
NCT00356512,United States,North America,USA
NCT00358956,Australia,Pacifica,AUS
NCT00358956,Canada,North America,CAN
NCT00358956,Italy,Europe,ITA
NCT00358956,Netherlands,Europe,NLD
NCT00358956,Romania,Europe,ROU
NCT00358956,Spain,Europe,ESP
NCT00358956,Switzerland,Europe,CHE
NCT00358956,United States,North America,USA
NCT00359385,United States,North America,USA
NCT00374595,United States,North America,USA
NCT00377312,United States,North America,USA
NCT00389441,Canada,North America,CAN
NCT00389441,China,East Asia,CHN
NCT00389441,Czech Republic,Europe,CZE
NCT00389441,India,South Asia,IND
NCT00389441,Italy,Europe,ITA
NCT00389441,Poland,Europe,POL
NCT00389441,Spain,Europe,ESP
NCT00389441,United Kingdom,Europe,GBR
NCT00389441,United States,North America,USA
NCT00395538,United States,North America,USA
NCT00403390,United States,North America,USA
NCT00403598,Israel,Middle East,ISR
NCT00405405,United States,North America,USA
NCT00410761,Australia,Pacifica,AUS
NCT00410761,Austria,Europe,AUT
NCT00410761,Belgium,Europe,BEL
NCT00410761,Brazil,South America,BRA
NCT00410761,Canada,North America,CAN
NCT00410761,Czechia,Europe,CZE
NCT00410761,Denmark,Europe,DNK
NCT00410761,France,Europe,FRA
NCT00410761,Germany,Europe,DEU
NCT00410761,Hungary,Europe,HUN
NCT00410761,India,South Asia,IND
NCT00410761,Italy,Europe,ITA
NCT00410761,"Korea, Republic of",East Asia,KOR
NCT00410761,Mexico,North America,MEX
NCT00410761,Netherlands,Europe,NLD
NCT00410761,Poland,Europe,POL
NCT00410761,Portugal,Europe,PRT
NCT00410761,Romania,Europe,ROU
NCT00410761,Russian Federation,North Asia,RUS
NCT00410761,Serbia,Europe,SRB
NCT00410761,Spain,Europe,ESP
NCT00410761,Sweden,Europe,SWE
NCT00410761,Switzerland,Europe,CHE
NCT00410761,United States,North America,USA
NCT00417612,United States,North America,USA
NCT00435851,France,Europe,FRA
NCT00439478,Switzerland,Europe,CHE
NCT00451880,United States,North America,USA
NCT00452049,Belgium,Europe,BEL
NCT00454077,Italy,Europe,ITA
NCT00454220,Brazil,South America,BRA
NCT00454220,Canada,North America,CAN
NCT00454220,Denmark,Europe,DNK
NCT00454220,France,Europe,FRA
NCT00454220,Germany,Europe,DEU
NCT00454220,Italy,Europe,ITA
NCT00454220,Netherlands,Europe,NLD
NCT00454220,United States,North America,USA
NCT00459459,Taiwan,East Asia,TWN
NCT00467506,France,Europe,FRA
NCT00471458,Finland,Europe,FIN
NCT00473265,United States,North America,USA
NCT00488644,United States,North America,USA
NCT00497484,Italy,Europe,ITA
NCT00501215,United States,North America,USA
NCT00505479,China,East Asia,CHN
NCT00507429,Belarus,North Asia,BLR
NCT00507429,Bulgaria,Europe,BGR
NCT00507429,Egypt,Africa,EGY
NCT00507429,India,South Asia,IND
NCT00507429,Israel,Middle East,ISR
NCT00507429,Italy,Europe,ITA
NCT00507429,Poland,Europe,POL
NCT00507429,Romania,Europe,ROU
NCT00507429,Russian Federation,North Asia,RUS
NCT00507429,Ukraine,Europe,UKR
NCT00507429,United Kingdom,Europe,GBR
NCT00507429,United States,North America,USA
NCT00510640,France,Europe,FRA
NCT00513032,Switzerland,Europe,CHE
NCT00514046,United States,North America,USA
NCT00524238,Denmark,Europe,DNK
NCT00525122,Netherlands,Europe,NLD
NCT00537095,Belgium,Europe,BEL
NCT00537095,Denmark,Europe,DNK
NCT00537095,France,Europe,FRA
NCT00537095,Norway,Europe,NOR
NCT00537095,Spain,Europe,ESP
NCT00537095,Sweden,Europe,SWE
NCT00537095,Switzerland,Europe,CHE
NCT00538720,United States,North America,USA
NCT00551486,"Korea, Republic of",East Asia,KOR
NCT00552487,Germany,Europe,DEU
NCT00565864,United States,North America,USA
NCT00566488,United States,North America,USA
NCT00568438,United States,North America,USA
NCT00569920,Norway,Europe,NOR
NCT00573573,Canada,North America,CAN
NCT00580788,United States,North America,USA
NCT00581828,United States,North America,USA
NCT00582712,United States,North America,USA
NCT00591032,Germany,Europe,DEU
NCT00598364,United States,North America,USA
NCT00603941,United States,North America,USA
NCT00604318,Denmark,Europe,DNK
NCT00615537,United States,North America,USA
NCT00625846,Australia,Pacifica,AUS
NCT00625846,China,East Asia,CHN
NCT00625846,Singapore,Southeast Asia,SGP
NCT00625846,Taiwan,East Asia,TWN
NCT00625846,United States,North America,USA
NCT00647140,France,Europe,FRA
NCT00668811,United States,North America,USA
NCT00673010,United States,North America,USA
NCT00687778,Israel,Middle East,ISR
NCT00691990,Greece,Europe,GRC
NCT00692835,Greece,Europe,GRC
NCT00693147,Greece,Europe,GRC
NCT00704730,Austria,Europe,AUT
NCT00704730,Belgium,Europe,BEL
NCT00704730,Brazil,South America,BRA
NCT00704730,Canada,North America,CAN
NCT00704730,Chile,South America,CHL
NCT00704730,Denmark,Europe,DNK
NCT00704730,France,Europe,FRA
NCT00704730,Germany,Europe,DEU
NCT00704730,Greece,Europe,GRC
NCT00704730,India,South Asia,IND
NCT00704730,Israel,Middle East,ISR
NCT00704730,Italy,Europe,ITA
NCT00704730,"Korea, Republic of",East Asia,KOR
NCT00704730,Netherlands,Europe,NLD
NCT00704730,Peru,South America,PER
NCT00704730,Poland,Europe,POL
NCT00704730,Portugal,Europe,PRT
NCT00704730,Russian Federation,North Asia,RUS
NCT00704730,Saudi Arabia,Middle East,SAU
NCT00704730,Spain,Europe,ESP
NCT00704730,Sweden,Europe,SWE
NCT00704730,Switzerland,Europe,CHE
NCT00704730,United Kingdom,Europe,GBR
NCT00704730,United States,North America,USA
NCT00718770,United States,North America,USA
NCT00719615,United States,North America,USA
NCT00730210,Denmark,Europe,DNK
NCT00732615,Belgium,Europe,BEL
NCT00732615,Canada,North America,CAN
NCT00732615,Denmark,Europe,DNK
NCT00732615,France,Europe,FRA
NCT00732615,Hungary,Europe,HUN
NCT00732615,Italy,Europe,ITA
NCT00732615,United Kingdom,Europe,GBR
NCT00732615,United States,North America,USA
NCT00743782,United States,North America,USA
NCT00744302,China,East Asia,CHN
NCT00747760,Israel,Middle East,ISR
NCT00747760,United States,North America,USA
NCT00749697,United Kingdom,Europe,GBR
